title,addr,mapx,mapy,contenttypeid
영영축성비,대구광역시 수성구 팔현길 248,128.658057,35.87495669,12
예송갤러리,대구광역시 중구 봉산문화길 56,128.597596,35.86257364,14
예연서원,대구광역시 달성군 유가읍 구례길 123,128.4700907,35.65575858,12
오봉오감,대구광역시 북구 침산남로서9길 24,128.5814549,35.89299768,12
오천서원,대구광역시 수성구 파동로2안길 20,129.3976973,35.98194182,12
옹기종기행복마을,대구광역시 동구 입석동,128.6466798,35.89104355,12
옻골동산,대구광역시 북구 구암동 산 4,128.5767929,35.94226146,12
용강서원,대구광역시 달서구 선원로33길 101,128.5145534,35.86138336,12
용문사(대구),대구광역시 달성군 화원읍 화원휴양림길 132,128.5390038,35.76913869,12
용연사(대구),대구광역시 달성군 옥포읍 용연사길 260,128.5209476,35.74827961,12
용호서원,대구광역시 달성군 다사읍 서재본4길 18-27,128.493616,35.8746898,12
운암지 수변공원,대구광역시 북구 구암동,128.5689355,35.93212079,12
운흥사(대구),대구광역시 달성군 가창면 헐티로 1068,128.6035783,35.77997476,12
원대가구 명물거리,대구광역시 서구 원대동3가,128.5741641,35.88453461,12
원호루,대구광역시 달성군 현풍면 현풍동로 92,128.4522356,35.69822845,12
월곡역사공원,대구광역시 달서구 상인로 128,128.5446214,35.81802493,12
월곡역사박물관,대구광역시 달서구 송현로7길 38,128.5456657,35.81925259,14
위천수변테마공원,대구광역시 군위군 효령면 간동유원지길 8,128.5853161,36.17622673,12
육신사,대구광역시 달성군 하빈면 육신사길 64,128.4166106,35.9113509,12
율하체육공원,대구광역시 동구 금호강변로 278 (율하동),128.6928627,35.85996181,12
은적사(대구),대구광역시 남구 앞산순환로 574-120,128.5897145,35.82356958,12
읍내동 마애불상,대구광역시 북구 칠곡중앙대로129길 169-3,128.543423,35.96374174,12
의흥향교,대구광역시 군위군 의흥면 읍내길 89-5,128.7199543,36.17357676,12
이강서원,대구광역시 달성군 다사읍 이천리 277,128.4623739,35.88670176,12
이곡장미공원,대구광역시 달서구 이곡동 1306-6,128.5148118,35.8581254,12
이공제비 및 군수이후범선영세불망비,대구광역시 수성구 신천동로 117,128.6067182,35.83561297,12
이상화 고택,대구광역시 중구 서성로 6-1,128.5880023,35.86727571,12
이양서원,대구광역시 달성군 현풍면 삼강3길 23,128.4218947,35.66579823,12
이천동 99계단 벽화마을,대구광역시 남구 이천로29길 28-1,128.5970158,35.85342189,12
이천동 고미술거리,대구광역시 남구 명덕로 262,128.5985934,35.8553467,12
이태원길(대구),대구광역시 북구 동천동,128.5622608,35.94308332,12
이현공원,대구광역시 서구 이현동 산119,128.5444699,35.87329923,12
인각사(군위),대구광역시 군위군 고로면 삼국유사로 250,128.7795059,36.12769142,12
인동촌 아나고골목,대구광역시 서구 북비산로74길 49,128.5778613,35.87682167,12
인산정사,대구광역시 달서구 상인로26길 89-6,128.5485766,35.81601968,12
인흥마을,대구광역시 달성군 화원읍 인흥3길 16,128.5181077,35.79322447,12
인흥서원,대구광역시 달성군 화원읍 인흥2길 26,128.5155942,35.78955818,12
일연공원,대구광역시 군위군 삼국유사면 화북1길 12,128.7730203,36.12855786,12
임휴사,대구광역시 달서구 앞산순환로 12-25,128.560223,35.81018722,12
자연염색박물관,대구광역시 동구 파계로112길 17,128.6364782,35.97934447,14
점새늪연꽃생태공원,대구광역시 동구 대림동 378-1,128.7439191,35.86686475,12
정호승 문학관,대구광역시 수성구 들안로 403-1 (범어동),128.6178275,35.86614583,14
제동서원,대구광역시 군위군 효령면 장군당1길 35,128.5725326,36.1232964,12
주암산가창저수지,경상북도 청도군 각북면 오산리,128.6099245,35.7996421,12
중리동 곱창골목,대구광역시 서구 평리로35길 28-10,128.5439563,35.86232268,12
중앙갤러리,대구광역시 중구 봉산문화길 34,128.5981071,35.86163209,14
진밭골산림공원,대구광역시 수성구 진밭길 413 (범물동),128.6726856,35.7985045,12
진영P&T,대구광역시 서구 염색공단천로 31,128.5509216,35.88990858,12
진주강씨모열각,대구광역시 달성군 옥포면 옥포로 305,128.4899637,35.76890726,12
창평지 친환경 생태공원(창평지),대구광역시 군위군 부계면 창평리 1547,128.6778325,36.09213522,12
첨모재·사효당,대구광역시 달서구 월곡로26길 17-39,128.5499295,35.80896217,12
첨백당,대구광역시 동구 도평로116길 192-7 (평광동),128.6935552,35.92839297,12
청련암(대구),대구광역시 달성군 가창면 남지장사길 127,128.6308661,35.73508034,12
청호서원,대구광역시 수성구 청호로 250-11,128.6409928,35.8394715,12
최정산,대구광역시 달성군 가창면 주리2길,128.5946103,35.75732994,12
충혼탑,대구광역시 남구 앞산순환로 540,128.5837481,35.8323157,12
치킨체험 테마파크 땅땅치킨랜드,대구광역시 동구 팔공로 220-2,128.6416906,35.91752657,12
칠곡향교,대구광역시 북구 칠곡중앙대로 597,128.5518143,35.94916577,12
침산공원,대구광역시 북구 침산동 1344-1,128.5858628,35.89522529,12
코로나19 기억의공간,대구광역시 중구 달구벌대로 2029 (동산동),128.5856664,35.86620912,14
큰장길 침구류 명물거리,대구광역시 서구 큰장로 35,128.5737981,35.86339256,12
